name,alternativename,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,notes,exclude,,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,,,
barley,,6,cholesterol,cardio,grain / pulse,,8939,126,416,,"Three grams of the sugars oats & barley (beta-glucans) per day lowers blood total cholesterol, low-density lipoprotein, and triglycerides. The average reduction in total cholesterol in the studies examined was 0.6 mmol/L.",,,2011: Consuming 3 grams of the beta-glucan (sugars) in oats & barley per day lowers blood cholesterol. ,,http://www.ncbi.nlm.nih.gov/pubmed/21470820,,,,126,2011,,,Tiwari and Cummins 2011,,http://jn.nutrition.org/content/138/6/1237S.long,,,,,,,,,,,
barleygrass juice,,0,all conditions,general health,plant extract,,1414,0,26,,No human trials,,,No human trials,,,,,,,,0,,No human trials,,,,,,,,,,,,,
beetroot,,4,blood pressure,"cardio, men",vegetable,OTW,3048,4,131,,"In trials, nitrates in beetroot, beetroot-juice and beetroot-enriched bread all lowered blood pressure in the 24 hours after consumption. Some studies show an effect in men, but not women. ",,,"The nitrates in beetroot have been shown to lower blood pressure in trials. 2012: beetroot juice or beetroot-enriched bread both lowered blood pressure over the 24 hours after consumption in a near dose-dependent manner. 2010: beetroot juice decreased blood pressure in male volunteers, with higher baseline blood pressure and lower plasma nitrite concentrations, but not in female volunteers.",,,http://www.ncbi.nlm.nih.gov/pubmed/22414688,,100%,,2012,4,,Hobbs et al 2012,,http://ajpregu.physiology.org/content/299/4/R1121.short,http://hyper.ahajournals.org/content/51/3/784.full,http://hyper.ahajournals.org/content/56/2/274.short,,,,,,,,,
beetroot juice,,4,exercise endurance,cardio,plant extract,OTW,619,4,32,,,,,,,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/843/CN-00800843/frame.html,,,,,4,,Lansley et al 2011,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/096/CN-00787096/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/367/CN-00760367/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/472/CN-00733472/frame.html,,,,,,,,,
black tea,,1,cancer prevention,cancer,plant extract,,11747,1,665,,"Highly conflicting evidence on cancer (some studies suggest benefits, others report no effects). Black tea does contain antioxidants  but green tea has more - and besides the 'take antioxidants' to improve your health theory has largely been disproved. Why not make yourself a nice cup of tea while you think about this?",,,"Several studies have explored a possible association between regular consumption of black tea and rates of cancer in populations. This research has yielded conflicting results, with some studies suggesting benefits, and others reporting no effects. Laboratory and animal studies report that components of tea, such as polyphenols, have antioxidant properties and effects against tumors. However, effects in humans remain unclear, and these components may be more common in green tea rather than in black tea. Some animal and laboratory research suggests that components of black tea may be carcinogenic, although effects in humans are not clear. Overall, the relationship of black tea consumption and human cancer remains undetermined.",,,http://www.nlm.nih.gov/medlineplus/druginfo/natural/patient-black_tea.html,,,,,1,,Medline,,,,,,,,,,,,,
black tea,,2,stress,mental health,plant extract,,11747,0,665,,"Based on early research, black tea may reduce stress and help patients feel more relaxed. Of course, high doses of caffeine have been linked to anxiety.",,,"Based on early research, black tea may reduce stress and help patients feel more relaxed. More research is needed to confirm these findings. It should be noted that high doses of caffeine have been linked to anxiety.",,,http://www.nlm.nih.gov/medlineplus/druginfo/natural/patient-black_tea.html,,,,,,,Medline,,,,,,,,,,,,,
blackcurrants,,2,"cancer, heart disease prevention","general health, ageing",fruit,OTW,1666,0,81,,"Some of the natural compounds in berries have been linked to delaying the onset of aging. Their antioxidant effects may help human health, but no link has been scientifically proven. Cell studies show anti-cancer effects. But no human evidence.",,,"2010: Compounds that may delay the onset of aging is receiving intense research attention; some berry phenolics are being associated with this functional performance.   2007: Antioxidant activity of berry phenolics, in addition to other mechanisms, may contribute to human health, but possible relationship yet to be scientifically substantiated.   2005: Some berry constituents have been proven to have cancer preventive actions on chemically induced tumors in vivo and cancer suppressive effects in in vitro studies.",,,http://www.ncbi.nlm.nih.gov/pubmed/20645129,,,,,,,Paredes-López et al 2010,,http://www.ncbi.nlm.nih.gov/pubmed/21121259,http://www.ncbi.nlm.nih.gov/pubmed/17492800,http://www.ncbi.nlm.nih.gov/pubmed/16498207,,,,,,,,,
bladderwrack (seaweed),Fucus vesiculosus ,1,menstrual health,women,alga,,573,1,30,,Appears to have hormonal effects. In a small case-report (not placebo controlled) intake of bladderwrack significantly increased menstrual cycle length (by 5.5-14 days). More and larger studies are needed to establish this. Bladderwrack is a good source of iodine (the mineral needed for thyroid health).,,,"Appears to have hormonal effects. 2004 case report of three women, not placebo controlled: intake of bladderwrack was associated with significant increases in menstrual cycle length (of 5.5-14 days). In one woman, the seaweed appeared to lower oestrogen levels and increase progesterone levels, but larger studies are needed to establish this. Bladderwrack is also a good source of iodine (the mineral needed for proper thyroid function).",,,http://www.ncbi.nlm.nih.gov/pubmed/15294021,,50%,,,1,0.5,Skibola 2004,,,,,,,,,,,,,
bladderwrack and rockweed,Ascophyllum nodosum and Fucus vesiculosus,1,insulin response,diabetes,alga,,236,1,8,,Ingesting capsules containing a mix of two brown seaweeds after a high-carb bread snack affected insulin but not glucose levels.,,,"2011: Ingesting capsules containing a mixture of two brown seaweeds improved insulin response but not glucose response following a high-carb bread snack, compared to placebo.",,,http://www.ncbi.nlm.nih.gov/pubmed/22087795,,100%,,,1,1,Paradis 2011,,,,,,,,,,,,,
blueberries,,2,"cancer, heart disease prevention","general health, cancer, cardio",fruit,,5181,4,183,,"Some compounds in berries have been linked to delaying the onset of aging. Their antioxidant effects may help human health, but no link has been scientifically proven. Cell studies show anti-cancer effects. No human trials.",,,"2010: Compounds that may delay the onset of aging is receiving intense research attention; some berry phenolics are being associated with this functional performance.   2007: Antioxidant activity of berry phenolics, in addition to other mechanisms, may contribute to human health, but possible relationship yet to be scientifically substantiated.   2005: Some berry constituents have been proven to have cancer preventive actions on chemically induced tumors in vivo and cancer suppressive effects in in vitro studies.",,,http://www.ncbi.nlm.nih.gov/pubmed/20645129,,75%,,,4,,Paredes-López et al 2010,,http://www.ncbi.nlm.nih.gov/pubmed/22111516,http://www.ncbi.nlm.nih.gov/pubmed/17533651,http://www.ncbi.nlm.nih.gov/pubmed/17487926,http://www.ncbi.nlm.nih.gov/pubmed/20384847,http://www.ncbi.nlm.nih.gov/pubmed/17492800,http://www.ncbi.nlm.nih.gov/pubmed/16498207,,,,,,
brazil nuts,,4,"cholesterol, general health","cardio, general health",nut / seed,,1519,2,99,,"Brazil nuts improved the level of fats in the blood of obese adolescents, possibly due to its high level of unsaturated fats and other bioactive substances.",,,"This review includes multiple studies that find promising results for tree nuts (but not conclusive evidence).  2011: Brazil nuts intake improved the lipid profile and microvascular function in obese adolescents, possibly due to its high level of unsaturated fatty acids and bioactive substances.",,http://www.ncbi.nlm.nih.gov/pubmed/22153059,http://www.ncbi.nlm.nih.gov/pubmed/21619692,,,,2011,2,,Bolling et al 2011,,http://www.ncbi.nlm.nih.gov/pubmed/19083402,,,,,,,,,,,
broccoli,,3,cancer prevention,cancer,vegetable,OTW,9690,11,205,,"Eating broccoli, cabbage, cauliflower and other cruciferous vegetables is related to decreased risk of bladder cancer. No effect seen for colorectal cancer. ",,,2012: Cruciferous vegetable intake is related to decreased risk of bladder cancer in meta-analysis.  2009: The way in which compounds exert protective effect is unproven.  2006: review of studies did not find anticancer effect on colo-rectal cancer. ,,http://www.ncbi.nlm.nih.gov/pubmed/22391648,http://www.ncbi.nlm.nih.gov/pubmed?term=Effect%20of%20cruciferous%20vegetables%20on%20lung%20cancer%20in%20patients%20stratified%20by%20genetic%20status%3A%20a%20mendelian%20randomisation%20approach,,,10,"2013, 2009,
2006",1,,Liu et al 2013,,http://www.ncbi.nlm.nih.gov/pubmed/19035553,http://www.ncbi.nlm.nih.gov/pubmed/16441953,,,,,,,,,,
broccoli sprouts,,4,stomach cancer prevention,cancer,vegetable,,1985,3,148,,"The compound ""sulforaphane"" found in broccoli sprouts kills the bacterium Helicobacter pylori – a major cause of stomach cancer – after daily intake for 8 weeks.  ",,,"2009: The compound sulforaphane in broccoli spouts kills the bacterium Helicobacter pylori, which is strongly associated with stomach cancer. 48 H. Pylori infected patients fed with broccoli sprouts daily for 8 weeks showed reduced signs of infection and gastric inflammation compared to placebo. 2004: Consumption of oral broccoli sprouts was temporally associated with eradication of H. pylori infection in three of nine patients. 2004: one week intake of broccoli sprouts improved cholesterol metabolism and decreased oxidative stress markers. 2001: The glucosinolates and isothiocyanates in broccoli sprouts protect animals against chemically induced cancer.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/473/CN-00703473/frame.html,,100%,,,3,3,Yanaka et al 2009,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/660/CN-00491660/frame.html,http://iospress.metapress.com/content/jfh1vkjbyyckvwnm/,animal study:,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/825/CN-00424825/frame.html,,,,,,,,
buckwheat,,1,diabetes,diabetes,grain / pulse,OTW,3615,1,181,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/11592684,,,,,1,,Li and Zhang 2001,,,,,,,,,,,,,
burdock root,Arctium lappa,0,general health,general health,vegetable,OTW,1100,0,99,,"Used in traditional Chinese medicine. Contains several compounds that may boost skin blood circulation, improve skin texture and quality and help cure eczema. No human trials yet. ",,,"Used in traditional Chinese medicine. 2011: No human trials yet, but burdock root contains active ingredients that may promote blood circulation to the skin surface, improve the skin quality/texture and curing skin diseases like eczema. Antioxidants and antidiabetic compounds have also been found in the root.",,,http://www.ncbi.nlm.nih.gov/pubmed/20981575,,,,,0,,Chan et al 2011,,,,,,,,,,,,,
butternut squash,,0,general health,general health,vegetable,,3063,0,81,,No human trials,,,,,,,,,,,0,,no studies,,,,,,,,,,,,,
cabbage ,,3,cancer prevention,cancer,vegetable,OTW,9176,11,244,,"Eating broccoli, cabbage, cauliflower and other cruciferous vegetables is related to decreased risk of bladder cancer. No effect seen for colorectal cancer. ",,,Cruciferous vegetable intake is related to decreased risk of bladder cancer. Studies did not find anticancer effect on colo-rectal cancer. ,,http://www.ncbi.nlm.nih.gov/pubmed/22391648,http://www.ncbi.nlm.nih.gov/pubmed?term=Effect%20of%20cruciferous%20vegetables%20on%20lung%20cancer%20in%20patients%20stratified%20by%20genetic%20status%3A%20a%20mendelian%20randomisation%20approach,,,10,"2012,2009
2006",1,,Liu et al 2013,,http://www.ncbi.nlm.nih.gov/pubmed/19035553,http://www.ncbi.nlm.nih.gov/pubmed/16441953,,,,,,,,,,
camu camu,"myrciaria dubia, camucamu, cacari, camocamo",1,oxidative stress,"general health, cancer",fruit,OTW,"1,304",1,27,,Very high in vitamin C. But a single study of smokers suggests its powerful anti-oxidant and anti-inflammatory effects may be due to other substances in the fruit.,,,"2008: 70ml of camu-camu juice per day, containing 1050mg vitamin C, or just 1050mg vitamin C (control) given to 20 male smokers for 7 days. Oxidative stress and inflammatory markers decreased significantly in the camu-camu group, while there was no change in the vitamin C group. Camu-camu juice may have powerful anti-oxidative and anti-inflammatory properties, compared to vitamin C tablets containing equivalent vitamin C content. These effects may be due to the existence of unknown anti-oxidant substances besides vitamin C or unknown substances modulating in vivo vitamin C kinetics in camu-camu.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/186/CN-00768186/frame.html,,100%,,,1,1,Inoue et al 2008,,,,,,,,,,,,,
carob,,0,cancer prevention,cancer,nut / seed,OTW,3076,0,119,,Lab trials show carob extract can protect human colon cells from DNA damage. But no trials on humans yet.,,,"No human trials, but in vitro trials show carob extract can protect human colon cell lines from DNA damage.",,,http://www.ncbi.nlm.nih.gov/pubmed/19296575,,,,,,,Klenow et al 2009,,,,,,,,,,,,,
cashew nuts,,4,"cholesterol, general health","cardio, general health",nut / seed,,4763,1,173,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/22153059,,,,,1,,Bolling et al 2011,,,,,,,,,,,,,
cherries,,2,general health,general health,fruit,OTW,7396,1,185,,"Cherries are nutritionally rich. In lab and animal studies, show antioxidant and anti-cancer effects. But human studies are needed. ",,,"Cherries, and in particular sweet cherries, are a nutritionally dense food rich in anthocyanins, quercetin, hydroxycinnamates, potassium, fiber, vitamin C, carotenoids, and melatonin. These constituent nutrients and bioactive food components support the potential preventive health benefits of cherry intake in relation to cancer, cardiovascular disease, diabetes, inflammatory diseases, and Alzheimer's disease. Mechanistically, cherries exhibit relatively high antioxidant activity, low glycemic response, COX 1 and 2 enzyme inhibition, and other anti-carcinogenic effects in vitro and in animal experiments. Well-designed cherry feeding studies are needed to further substantiate any health benefits in humans.
",,,http://www.ncbi.nlm.nih.gov/pubmed/21229414,,,,,1,,McCune et al 2011,,,,,,,,,,,,,
chia seeds,Salvia hispanica,1,"cardio risk factors, weight loss","weight control, cardio",nut / seed,,6173,5,26,,May increase omega 3 levels in older women. Weak evidence for cardio effects. No evidence for weight loss.,,,"Two 2012 studies: consumption of milled chia seeds increased levels of two types of omega 3 - ALA and EPA - in postmenopausal women but had no effect on DHA levels, inflammation or other disease risk factors. 2009: 50 g chia seeds per day for 12 weeks raised ALA levels but had no effect on body composition, inflammation, oxidative stress, blood pressure, and lipoproteins among overweight and obese people of both sexes. 2009 review: There is limited evidence supporting the efficacy of Salvia hispanica for any indication; thus far, only two clinical studies have examined the effects of Salvia hispanica on cardiovascular disease (CVD) risk factors (including body weight). One study showed some effects on some CVD risk factors, while the other did not. Neither study showed any effects of Salvia hispanica on weight loss. ",,http://www.ncbi.nlm.nih.gov/pubmed/20028328,,,0%,2,2009,3,0,Ulbicht et al 2009,,http://www.ncbi.nlm.nih.gov/pubmed/22538527,http://www.ncbi.nlm.nih.gov/pubmed/22830971,http://www.ncbi.nlm.nih.gov/pubmed/19628108,,,,,,,,,
chlorella,Chlorella pyrenoidosa,1,blood pressure,cardio,alga,OTW,1972,2,151,,Good source of magnesium and GABA (a chemical with a calming effect on the brain). Has slight lowering effect on blood pressure. More research needed.,,,"2009: 20mg of chlorella (a kind of algae) twice a day for 12 weeks significantly decreased systolic blood pressure in people compared with placebo, especially among those already with borderline hypertension. The authors suggest its high GABA levels are related to the BP reduction. Diastolic blood pressure also tended to decrease, but not significantly. 2010: 52 Korean male smokers took 6.3g of chlorella or placebo every day for 6 weeks. Antioxidant status improved. Blood pressure tended to decrease, but not significantly.",,,http://www.ncbi.nlm.nih.gov/pubmed/19811362,,50%,,,2,1,Shimada et al 2009,,http://www.ncbi.nlm.nih.gov/pubmed/19660910,,,,,,,,,,,
"chocolate, dark",,4,blood pressure,cardio,grain / pulse,,6132,15,150,,2-18 weeks of dark chocolate slightly (but significantly) reduces blood pressure in those with high blood-pressure. Less effect on those with normal blood pressure.,,,"Meta-analysis: significant blood pressure-reducing effect of cocoa-chocolate compared with control (mean BP change +/- SE: SBP: -3.2 +/- 1.9 mmHg, P = 0.001; DBP: -2.0 +/- 1.3 mmHg, P = 0.003). However, subgroup meta-analysis was significant only for the hypertensive or prehypertensive subgroups (SBP: -5.0 +/- 3.0 mmHg; P = 0.0009; DBP: -2.7 +/- 2.2 mm Hg, P = 0.01), while BP was not significantly reduced in the normotensive subgroups (SBP: -1.6 +/- 2.3 mmHg, P = 0.17; DBP: -1.3 +/- 1.6 mmHg, P = 0.12). CONCLUSION: dark chocolate is superior to placebo in reducing systolic hypertension or diastolic prehypertension. Flavanol-rich chocolate did not significantly reduce mean blood pressure below 140 mmHg systolic or 80 mmHg diastolic.",,http://www.ncbi.nlm.nih.gov/pubmed/20584271,,,,15,2010,,,Ried et al 2010,,http://www.ncbi.nlm.nih.gov/pubmed/19910929,,,,,,,,,,,
"chocolate, dark",,2,"cardiovascular disease, diabetes","cardio, diabetes",grain / pulse,OTW,6132,7,150,,"People who eat more chocolate have a lower risk of heart disease (by 37%), stroke (29%) and diabetes. But properly controlled trials needed. It could be something other than the chocolate.",,,"A 2011 review of 7 studies including 114,009 participants found 5 of the studies reported a beneficial association between higher levels of chocolate consumption and the risk of cardiometabolic disorders (cardiovascular disease, myocardial infarction, stroke, ischaemic heart disease, heart failure, diabetes, metabolic syndrome). The highest levels of chocolate consumption were associated with a 37% reduction in cardiovascular disease and a 29% reduction in stroke compared with the lowest levels. However, none of these studies was a randomised controlled trial. RCTs are needed to establish this link firmly.",,http://www.ncbi.nlm.nih.gov/pubmed/21875885,,,,7,2011,0,,Buitrago-Lopez et al 2011,,,,,,,,,,,,,
cinnamon ,,2,diabetes,diabetes,herb / spice,OTW,11082,5,195,,"Some individual studies have suggested cinnamon may lower blood glucose. But overall, cinnamon appears not to affect various factors related to diabetes and heart disease. ",,,"2008: An analysis of five clinical trials concluded that cinnamon does not appear to affect factors related to diabetes and heart disease. However, some individual studies report positive results. 2011: Cinnamon intake, either as whole cinnamon or as cinnamon extract, results in a statistically significant lowering in fasting blood glucose and intake of cinnamon extract also lowered fasting blood glucose. 2007 review of 3 trials: Cinnamon has a possible modest effect in lowering plasma glucose levels in patients with poorly controlled type 2 diabetes.",,http://care.diabetesjournals.org/content/31/1/41.long,,,,5,2008,,,Baker et al 2008,,http://www.ncbi.nlm.nih.gov/pubmed/17381386,http://www.ncbi.nlm.nih.gov/pubmed/14633804,,,,,,,,,,
coconut oil,Cocos nucifera,4,weight control,weight control,plant extract,,5235,4,243,,"Replacing other fats with coconut oil when on a diet can enhance weight loss, spare muscle and reduce hunger.",,,"Replacing some fats in the diet with the medium-chain triglycerides in coconut oil when on a low-calorie diet is associated with greater and more rapid weight loss, particularly abdominal weight loss, and may also spare lean muscle mass and reduce feelings of hunger.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/529/CN-00721529/frame.html,,100%,,,4,4,Assunção et al 2009,,http://www.ncbi.nlm.nih.gov/pubmed/17570262,http://www.ncbi.nlm.nih.gov/pubmed/11571605,http://www.ncbi.nlm.nih.gov/pubmed/14608053,,,,,,,,,
coffee,,4,asthma,general health,grain / pulse,,35228,7,721,,Modestly improves airway function in people with asthma for up to 4 hours. Some trials used caffeine pills rather than coffee.,,,"Caffeine appears to improve airways function modestly, for up to four hours, in people with asthma. Some trials used caffeine pills rather than coffee.",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001112.pub2/abstract,,,7,,,2010,,,Cochrane review: Caffeine for asthma,,,,,,,,,,,,,
coffee,,2,depression,"mental health, women",grain / pulse,,35228,7,721,,Women who drink more coffee (not decaf) have a lower depression risk. More research needed on whether caffeine prevents depression. ,,,"A large study of over 50,000 US women followed for 10 years found depression risk decreases with increasing caffeinated coffee consumption. Compared to women drinking less than a cup a week, the risk of developing depression among women consuming 2-3 cups / day was 15% lower and for 4+ cups a day 20% lower. Decaffeinated coffee was not associated with depression risk. Further investigations are needed to confirm this finding and to determine whether usual caffeinated coffee consumption can contribute to depression prevention.",,,http://www.ncbi.nlm.nih.gov/pubmed/21949167,,,,,1,,Lucas et al 2011,,,,,,,,,,,,,
